,name,mileage,price,owners,body,int,ext,vin,engine,tm,drive,fuel,height,length,width,gclear,wheelb,ftrackw,mpg,rtrackw
1146,2017 Buick Envision,"Essence | 33,211 miles","$18,430",2,SUV,Tan,Red,LRBFXBSA4HD074337,2.5L I4 197hp 192ft. lbs.,Automatic,FWD,Gasoline,"66.8""","183.7""","72.4""",Unavailable,"108.3""","62""",22 City / 29 Hwy,"62"""
1147,2017 Acura MDX,"w/Advance w/RES | 34,347 miles","$33,510",1,SUV,Black,Black,5FRYD3H98HB010153,3.5L V6 290hp 267ft. lbs.,Automatic,FWD,Gasoline,"67.4""","196.2""","77.7""","7.3""","111""","66.3""",19 City / 27 Hwy,"66.3"""
1148,2017 Buick Envision,"Essence | 36,227 miles","$18,000",1,SUV,Black,Galaxy Silver Metallic,LRBFXBSA7HD029456,2.5L I4 197hp 192ft. lbs.,Automatic,FWD,Gasoline,"66.8""","183.7""","72.4""",Unavailable,"108.3""","62""",22 City / 29 Hwy,"62"""
1149,2017 Chevrolet Bolt EV,"LT | 45,340 miles","$16,290",1,Hatchback,Gray,Orange Burst Metallic,1G1FW6S06H4174788,Electric 200hp 266ft. lbs.,Automatic,FWD,Electric,"62.8""","164""","69.5""",Unavailable,"102.4""","59.1""",128 City / 110 Hwy,"59.1"""
1150,2017 Buick Envision,"Preferred | 21,817 miles","$18,270",1,SUV,Tan,Red,LRBFXASAXHD179555,2.5L I4 197hp 192ft. lbs.,Automatic,FWD,Gasoline,"66.8""","183.7""","72.4""",Unavailable,"108.3""","62""",22 City / 29 Hwy,"62"""
1151,2020 Hyundai Santa Fe,"SE | 15,593 miles","$21,730",1,SUV,Gray,Stormy Sea,5NMS2CAD1LH142013,Theta II 2.4L I4 185hp 178ft. lbs.,Automatic,AWD,Gasoline,"66.1""","187.8""","74.4""","7.3""","108.9""","64.7""",21 City / 27 Hwy,"65"""
1152,2019 Dodge Grand Caravan,"SXT | 28,894 miles","$16,740",1,Van Minivan,Black,Billet Clear Coat,2C4RDGCG0KR699202,Pentastar 3.6L Flex Fuel V6 283hp 260ft. lbs.,Automatic,FWD,Flex Fuel,"69""","203.7""","88.5""","5.8""","121.2""","65.6""",12 City / 18 Hwy,"64.8"""
1153,2017 Chevrolet Bolt EV,"Premier | 22,564 miles","$19,390",2,Hatchback,Gray,Black,1G1FX6S03H4140112,Electric 200hp 266ft. lbs.,Automatic,FWD,Electric,"62.8""","164""","69.5""",Unavailable,"102.4""","59.1""",128 City / 110 Hwy,"59.1"""
1154,2017 Chevrolet Bolt EV,"Premier | 43,597 miles","$17,930",1,Hatchback,Gray,Cajun Red Tintcoat,1G1FX6S08H4128506,Electric 200hp 266ft. lbs.,Automatic,FWD,Electric,"62.8""","164""","69.5""",Unavailable,"102.4""","59.1""",128 City / 110 Hwy,"59.1"""
1155,2017 Chevrolet Bolt EV,"Premier | 29,939 miles","$19,000",1,Hatchback,Gray,Blue,1G1FX6S0XH4145338,Electric 200hp 266ft. lbs.,Automatic,FWD,Electric,"62.8""","164""","69.5""",Unavailable,"102.4""","59.1""",128 City / 110 Hwy,"59.1"""
1156,2020 Hyundai Santa Fe,"SE | 19,367 miles","$20,580",1,SUV,Black,Grey,5NMS23AD2LH148063,Theta II 2.4L I4 185hp 178ft. lbs.,Automatic,FWD,Gasoline,"66.1""","187.8""","74.4""","7.3""","108.9""","64.7""",22 City / 29 Hwy,"65"""
1157,2017 Buick Encore,"Sport Touring | 17,008 miles","$15,620",1,SUV,Black,Grey,KL4CJ1SB8HB032963,Ecotec 1.4L Turbo I4 138hp 148ft. lbs.,Automatic,FWD,Gasoline,"65.3""","168.4""","69.9""","6.2""","100.6""","60.6""",25 City / 33 Hwy,"60.6"""
1158,2018 GMC Terrain,"SLE | 19,390 miles","$19,380",1,SUV,Black,Summit White,3GKALMEV4JL309406,1.5L Turbo I4 170hp 203ft. lbs.,Automatic,FWD,Gasoline,"65.4""","182.3""","72.4""","6.9""","107.3""","62.3""",26 City / 30 Hwy,"62.5"""
1159,2019 Nissan Altima,"2.5 SR | 31,176 miles","$18,630",1,Sedan,Black,Gun Metallic,1N4BL4CV1KC138880,2.5L I4 188hp 180ft. lbs.,Automatic,FWD,Gasoline,"56.9""","192.9""","72.9""",Unavailable,"111.2""","62.8""",27 City / 37 Hwy,"62.8"""
1160,2017 GMC Acadia,"Denali | 18,282 miles","$32,030",1,SUV,Black,Silver,1GKKNXLS2HZ168072,3.6L V6 310hp 271ft. lbs.,Automatic,AWD,Gasoline,"66""","193.6""","75.4""","7.2""","112.5""","64.5""",18 City / 25 Hwy,"64.5"""
1161,2017 Ford Fusion Hybrid,"SE | 34,673 miles","$14,220",1,Sedan,Black,White,3FA6P0LU0HR358057,2.0L Hybrid I4 188hp,Other,FWD,Gas/Electric Hybrid,"58""","191.8""","83.5""",Unavailable,"112.2""","62.3""",43 City / 41 Hwy,"62"""
1162,2017 INFINITI QX30,"Sport | 33,300 miles","$21,640",1,SUV,Black,White,SJKCH5CP8HA015893,2.0L Turbo I4 208hp 258ft. lbs.,Automatic,FWD,Gasoline,"58.1""","174.2""","82""","6.1""","106.3""","62""",24 City / 33 Hwy,"62"""
1163,2017 INFINITI QX30,"Premium | 41,565 miles","$19,190",1,SUV,Tan,Brown,SJKCH5CP2HA030423,2.0L Turbo I4 208hp 258ft. lbs.,Automatic,FWD,Gasoline,"59.4""","174.2""","82""","6.8""","106.3""","61.9""",24 City / 33 Hwy,"61.9"""
1165,2018 INFINITI QX60,"Base | 18,666 miles","$27,680",1,SUV,Black,Hermosa Blue,5N1DL0MNXJC533533,3.5L V6 295hp 270ft. lbs.,Automatic,FWD,Gasoline,"68.6""","200.6""","77.2""","6.5""","114.2""","65.7""",20 City / 27 Hwy,"65.7"""
1166,2017 Chevrolet Bolt EV,"LT | 44,842 miles","$16,580",1,Hatchback,Gray,White,1G1FW6S0XH4147562,Electric 200hp 266ft. lbs.,Automatic,FWD,Electric,"62.8""","164""","69.5""",Unavailable,"102.4""","59.1""",128 City / 110 Hwy,"59.1"""
1167,2018 Alfa Romeo Giulia,"Base | 14,881 miles","$24,690",1,Sedan,Black,Alfa White,ZARFAEBN0J7581298,2.0L Turbo I4 280hp 306ft. lbs.,Automatic,RWD,Gasoline,"56.5""","182.6""","79.7""",Unavailable,"111""","61.3""",24 City / 33 Hwy,"63.9"""
1168,2018 Alfa Romeo Stelvio,"Ti | 22,765 miles","$28,800",1,Wagon,Black,White,ZASFAKBN8J7B97639,2.0L Turbo I4 280hp 306ft. lbs.,Automatic,AWD,Gasoline,"66""","184.6""","74.9""","8.1""","111""","63.5""",22 City / 28 Hwy,"65"""
1169,2018 Alfa Romeo Stelvio,"Base | 20,548 miles","$25,230",1,Wagon,Brown,Vesuvio Gray Metallic,ZASFAKAN4J7B78703,2.0L Turbo I4 280hp 306ft. lbs.,Automatic,AWD,Gasoline,"66""","184.6""","74.9""","8.1""","111""","63.5""",22 City / 28 Hwy,"65"""
1170,2017 Ford Fusion,"SE | 27,221 miles","$14,510",1,Sedan,Black,Burgundy Velvet Metallic Tinted Clearcoat,3FA6P0H73HR221844,2.5L I4 175hp 175ft. lbs.,Automatic,FWD,Gasoline,"58.2""","191.8""","83.5""",Unavailable,"112.2""","62.7""",21 City / 32 Hwy,"62.4"""
1171,2019 Volkswagen Passat,"2.0T Wolfsburg | 35,671 miles","$15,740",1,Sedan,Black,Tourmaline Blue Metallic,1VWLA7A37KC007974,2.0L Turbo I4 174hp 184ft. lbs.,Automatic,FWD,Gasoline,"58.5""","191.9""","72.2""","5.4""","110.4""","62.1""",25 City / 36 Hwy,"61"""
1172,2019 Buick Enclave,"Essence | 29,011 miles","$26,290",1,SUV,Tan,White,5GAERBKW4KJ189310,3.6L V6 310hp 266ft. lbs.,Automatic,FWD,Gasoline,"69.9""","204.3""","89.3""","7.7""","120.9""","67.3""",18 City / 26 Hwy,"67"""
1173,2019 Buick Enclave,"Essence | 30,390 miles","$26,050",1,SUV,Tan,White,5GAERBKW9KJ192090,3.6L V6 310hp 266ft. lbs.,Automatic,FWD,Gasoline,"69.9""","204.3""","89.3""","7.7""","120.9""","67.3""",18 City / 26 Hwy,"67"""
1174,2017 Buick Envision,"Essence | 15,089 miles","$19,980",1,SUV,Tan,Galaxy Silver Metallic,LRBFXBSA7HD023365,2.5L I4 197hp 192ft. lbs.,Automatic,FWD,Gasoline,"66.8""","183.7""","72.4""",Unavailable,"108.3""","62""",22 City / 29 Hwy,"62"""
1175,2017 Buick Envision,"Essence | 31,104 miles","$19,190",1,SUV,Tan,White,LRBFXBSA1HD047855,2.5L I4 197hp 192ft. lbs.,Automatic,FWD,Gasoline,"66.8""","183.7""","72.4""",Unavailable,"108.3""","62""",22 City / 29 Hwy,"62"""
1176,2019 Buick Enclave,"Essence | 40,464 miles","$24,700",1,SUV,Black,Quicksilver Metallic,5GAERBKW1KJ188728,3.6L V6 310hp 266ft. lbs.,Automatic,FWD,Gasoline,"69.9""","204.3""","89.3""","7.7""","120.9""","67.3""",18 City / 26 Hwy,"67"""
1177,2019 Mitsubishi Eclipse Cross,"ES | 27,899 miles","$14,960",1,Wagon,Black,Black,JA4AT3AA6KZ038913,1.5L Turbo I4 152hp 184ft. lbs.,Other,AWD,Gasoline,"66.5""","173.4""","71.1""","8.5""","105.1""","60.6""",25 City / 28 Hwy,"60.6"""
1179,2017 Lexus CT 200h,"Base | 38,071 miles","$19,000",1,Hatchback,Black,Atomic Silver,JTHKD5BHXH2299816,1.8L Hybrid I4 134hp,Automatic,FWD,Gas/Electric Hybrid,"57.3""","171.3""","69.5""","5.7""","102.4""","60""",43 City / 40 Hwy,"59.8"""
1180,2017 Hyundai Azera,"Base | 28,446 miles","$17,760",1,Sedan,Tan,Diamond White Pearl,KMHFG4JG5HA579870,3.3L V6 293hp 255ft. lbs.,Automatic,FWD,Gasoline,"57.9""","193.7""","73.2""","5.4""","112""","63.2""",20 City / 28 Hwy,"63.3"""
1183,2019 Chevrolet Bolt EV,"Premier | 27,732 miles","$23,760",1,Hatchback,Gray,Grey,1G1FZ6S07K4123539,Electric 200hp 266ft. lbs.,Automatic,FWD,Electric,"62.8""","164""","69.5""",Unavailable,"102.4""","59.1""",128 City / 110 Hwy,"59.1"""
1184,2019 Buick Enclave,"Essence | 26,591 miles","$25,960",1,SUV,Gray,Silver,5GAERBKW3KJ190898,3.6L V6 310hp 266ft. lbs.,Automatic,FWD,Gasoline,"69.9""","204.3""","89.3""","7.7""","120.9""","67.3""",18 City / 26 Hwy,"67"""
1185,2019 Buick Enclave,"Essence | 29,429 miles","$25,190",1,SUV,Black,Quicksilver Metallic,5GAERBKW9KJ191358,3.6L V6 310hp 266ft. lbs.,Automatic,FWD,Gasoline,"69.9""","204.3""","89.3""","7.7""","120.9""","67.3""",18 City / 26 Hwy,"67"""
1186,2019 Ford Expedition MAX,"XLT | 30,982 miles","$39,300",1,SUV,Black,Ingot Silver,1FMJK1HTXKEA20681,EcoBoost 3.5L Twin Turbo V6 375hp 470ft. lbs.,Automatic,RWD,Gasoline,"76.4""","221.9""","93.4""","9.8""","131.6""","67.6""",17 City / 23 Hwy,"67.2"""
1187,2019 Buick Enclave,"Essence | 29,787 miles","$25,400",1,SUV,Gray,Silver,5GAERBKW2KJ186468,3.6L V6 310hp 266ft. lbs.,Automatic,FWD,Gasoline,"69.9""","204.3""","89.3""","7.7""","120.9""","67.3""",18 City / 26 Hwy,"67"""
1188,2019 Jeep Grand Cherokee,"Limited | 31,273 miles","$27,550",1,SUV,Black,Bright White Clear Coat,1C4RJFBG5KC686426,3.6L V6 295hp 260ft. lbs.,Automatic,4x4,Gasoline,"69.3""","189.8""","84.8""","8.6""","114.7""","63.9""",18 City / 25 Hwy,"64.1"""
1189,2019 Chrysler Pacifica,"Touring L | 45,759 miles","$20,280",1,Van Minivan,Black,Velvet Red Pearl Coat,2C4RC1BG5KR539852,Pentastar 3.6L V6 287hp 262ft. lbs.,Automatic,FWD,Gasoline,"69.9""","203.8""","90.4""","5.1""","121.6""","68.3""",18 City / 28 Hwy,"68.3"""
1190,2018 GMC Terrain,"SLE | 34,856 miles","$18,010",1,SUV,Black,Red,3GKALMEV0JL304140,1.5L Turbo I4 170hp 203ft. lbs.,Automatic,FWD,Gasoline,"65.4""","182.3""","72.4""","6.9""","107.3""","62.3""",26 City / 30 Hwy,"62.5"""
1191,2018 Chrysler Pacifica,"Limited | 43,758 miles","$24,520",1,Van Minivan,Black,Velvet Red Pearl Coat,2C4RC1GG9JR314213,Pentastar 3.6L V6 287hp 262ft. lbs.,Automatic,FWD,Gasoline,"69.9""","203.8""","90.4""","5.1""","121.6""","68.3""",18 City / 28 Hwy,"68.3"""
1192,2019 Jeep Grand Cherokee,"Limited | 37,136 miles","$27,200",1,SUV,Black,Diamond Black Crystal Pearl Coat,1C4RJFBG0KC693459,3.6L V6 295hp 260ft. lbs.,Automatic,4x4,Gasoline,"69.3""","189.8""","84.8""","8.6""","114.7""","63.9""",18 City / 25 Hwy,"64.1"""
1193,2019 Volkswagen Passat,"2.0T Wolfsburg | 31,072 miles","$15,860",1,Sedan,Tan,Deep Black Pearl,1VWLA7A36KC009604,2.0L Turbo I4 174hp 184ft. lbs.,Automatic,FWD,Gasoline,"58.5""","191.9""","72.2""","5.4""","110.4""","62.1""",25 City / 36 Hwy,"61"""
1194,2019 Ford Expedition MAX,"XLT | 31,930 miles","$38,570",1,SUV,Tan,Grey,1FMJK1JT4KEA17947,EcoBoost 3.5L Twin Turbo V6 375hp 470ft. lbs.,Automatic,4x4,Gasoline,"76.2""","221.9""","93.4""","9.7""","131.6""","67.6""",16 City / 21 Hwy,"67.2"""
1195,2019 Dodge Grand Caravan,"SXT | 33,766 miles","$16,520",1,Van Minivan,Black,White Knuckle Clear Coat,2C4RDGCG9KR614695,Pentastar 3.6L Flex Fuel V6 283hp 260ft. lbs.,Automatic,FWD,Flex Fuel,"69""","203.7""","88.5""","5.8""","121.2""","65.6""",12 City / 18 Hwy,"64.8"""
1196,2017 Chevrolet Bolt EV,"LT | 26,321 miles","$17,300",1,Hatchback,Gray,Blue,1G1FW6S04H4142471,Electric 200hp 266ft. lbs.,Automatic,FWD,Electric,"62.8""","164""","69.5""",Unavailable,"102.4""","59.1""",128 City / 110 Hwy,"59.1"""
1197,2017 Chevrolet Bolt EV,"LT | 38,088 miles","$16,470",1,Hatchback,Gray,Summit White,1G1FW6S0XH4147500,Electric 200hp 266ft. lbs.,Automatic,FWD,Electric,"62.8""","164""","69.5""",Unavailable,"102.4""","59.1""",128 City / 110 Hwy,"59.1"""
1198,2017 Chevrolet Bolt EV,"LT | 41,605 miles","$16,290",1,Hatchback,Gray,Grey,1G1FW6S09H4140649,Electric 200hp 266ft. lbs.,Automatic,FWD,Electric,"62.8""","164""","69.5""",Unavailable,"102.4""","59.1""",128 City / 110 Hwy,"59.1"""
1199,2017 Chevrolet Bolt EV,"Premier | 38,237 miles","$18,790",2,Hatchback,Gray,Mosaic Black Metallic,1G1FX6S08H4140025,Electric 200hp 266ft. lbs.,Automatic,FWD,Electric,"62.8""","164""","69.5""",Unavailable,"102.4""","59.1""",128 City / 110 Hwy,"59.1"""
1200,2017 Chevrolet Bolt EV,"LT | 38,118 miles","$16,530",1,Hatchback,Gray,Nightfall Gray Metallic,1G1FW6S05H4141278,Electric 200hp 266ft. lbs.,Automatic,FWD,Electric,"62.8""","164""","69.5""",Unavailable,"102.4""","59.1""",128 City / 110 Hwy,"59.1"""
1201,2019 Ford Expedition MAX,"XLT | 35,119 miles","$34,640",1,SUV,Black,Agate Black,1FMJK1HT6KEA42953,EcoBoost 3.5L Twin Turbo V6 375hp 470ft. lbs.,Automatic,RWD,Gasoline,"76.4""","221.9""","93.4""","9.8""","131.6""","67.6""",17 City / 23 Hwy,"67.2"""
1202,2019 Ford Expedition MAX,"XLT | 35,631 miles","$35,270",1,SUV,Black,Ingot Silver,1FMJK1HT6KEA28924,EcoBoost 3.5L Twin Turbo V6 375hp 470ft. lbs.,Automatic,RWD,Gasoline,"76.4""","221.9""","93.4""","9.8""","131.6""","67.6""",17 City / 23 Hwy,"67.2"""
1203,2019 Ford Expedition MAX,"XLT | 33,580 miles","$34,940",1,SUV,Black,Black,1FMJK1HT6KEA35971,EcoBoost 3.5L Twin Turbo V6 375hp 470ft. lbs.,Automatic,RWD,Gasoline,"76.4""","221.9""","93.4""","9.8""","131.6""","67.6""",17 City / 23 Hwy,"67.2"""
1204,2019 Ford Expedition MAX,"XLT | 31,599 miles","$34,980",1,SUV,Black,Agate Black,1FMJK1HT0KEA20169,EcoBoost 3.5L Twin Turbo V6 375hp 470ft. lbs.,Automatic,RWD,Gasoline,"76.4""","221.9""","93.4""","9.8""","131.6""","67.6""",17 City / 23 Hwy,"67.2"""
1205,2019 Ford Expedition MAX,"XLT | 33,590 miles","$35,290",1,SUV,Black,Agate Black,1FMJK1HT6KEA20449,EcoBoost 3.5L Twin Turbo V6 375hp 470ft. lbs.,Automatic,RWD,Gasoline,"76.4""","221.9""","93.4""","9.8""","131.6""","67.6""",17 City / 23 Hwy,"67.2"""
1207,2019 Ford Expedition MAX,"XLT | 32,103 miles","$35,350",1,SUV,Black,Agate Black,1FMJK1HT3KEA38441,EcoBoost 3.5L Twin Turbo V6 375hp 470ft. lbs.,Automatic,RWD,Gasoline,"76.4""","221.9""","93.4""","9.8""","131.6""","67.6""",17 City / 23 Hwy,"67.2"""
1208,2019 Ford Expedition MAX,"XLT | 32,863 miles","$35,910",1,SUV,Black,Silver,1FMJK1HT9KEA20901,EcoBoost 3.5L Twin Turbo V6 375hp 470ft. lbs.,Automatic,RWD,Gasoline,"76.4""","221.9""","93.4""","9.8""","131.6""","67.6""",17 City / 23 Hwy,"67.2"""
1209,2019 Ford Expedition MAX,"XLT | 32,645 miles","$35,230",1,SUV,Black,Agate Black,1FMJK1HT3KEA28072,EcoBoost 3.5L Twin Turbo V6 375hp 470ft. lbs.,Automatic,RWD,Gasoline,"76.4""","221.9""","93.4""","9.8""","131.6""","67.6""",17 City / 23 Hwy,"67.2"""
1210,2019 Ford Expedition MAX,"XLT | 31,777 miles","$37,240",1,SUV,Black,Magnetic,1FMJK1HT3KEA27634,EcoBoost 3.5L Twin Turbo V6 375hp 470ft. lbs.,Automatic,RWD,Gasoline,"76.4""","221.9""","93.4""","9.8""","131.6""","67.6""",17 City / 23 Hwy,"67.2"""
1211,2019 Dodge Grand Caravan,"SXT | 44,616 miles","$15,820",1,Van Minivan,Black,White Knuckle Clear Coat,2C4RDGCG0KR545041,Pentastar 3.6L Flex Fuel V6 283hp 260ft. lbs.,Automatic,FWD,Flex Fuel,"69""","203.7""","88.5""","5.8""","121.2""","65.6""",12 City / 18 Hwy,"64.8"""
1212,2019 Dodge Grand Caravan,"SXT | 29,360 miles","$16,910",1,Van Minivan,Black,White Knuckle Clear Coat,2C4RDGCG6KR621703,Pentastar 3.6L Flex Fuel V6 283hp 260ft. lbs.,Automatic,FWD,Flex Fuel,"69""","203.7""","88.5""","5.8""","121.2""","65.6""",12 City / 18 Hwy,"64.8"""
1213,2018 Chevrolet Bolt EV,"LT | 42,418 miles","$17,530",1,Hatchback,Gray,Black,1G1FW6S05J4111624,Electric 200hp 266ft. lbs.,Automatic,FWD,Electric,"62.8""","164""","69.5""",Unavailable,"102.4""","59.1""",128 City / 110 Hwy,"59.1"""
1214,2018 Audi S4,"3.0T quattro Prestige | 4,774 miles","$46,980",1,Sedan,Red,Daytona Gray Pearl Effect,WAUC4AF46JA234749,3.0L Turbo V6 354hp 369ft. lbs.,Automatic,AWD,Gasoline,"55.3""","186.8""","79.6""",Unavailable,"111.2""","61.6""",21 City / 30 Hwy,"60.9"""
1215,2018 Mazda CX-5,"Grand Touring | 11,166 miles","$25,330",1,SUV,Tan,Snowflake White Pearl Mica,JM3KFADM4J1365763,SKYACTIV-G 2.5L I4 187hp 186ft. lbs.,Automatic,FWD,Gasoline,"66.2""","179.1""","72.5""","7.5""","106.2""","62.8""",25 City / 31 Hwy,"62.8"""
1216,2019 Honda Accord Hybrid,"EX-L | 10,421 miles","$28,170",1,Sedan,Black,White,1HGCV3F57KA012115,2.0L Hybrid I4 212hp,Automatic,FWD,Gas/Electric Hybrid,"57.1""","192.2""","73.3""",Unavailable,"111.4""","63""",48 City / 48 Hwy,"63.4"""
1218,2019 Buick Encore,"Preferred | 3,589 miles","$19,200",1,SUV,Gray,Tan,KL4CJASB4KB706842,Ecotec 1.4L Turbo I4 138hp 148ft. lbs.,Automatic,FWD,Gasoline,"65.3""","168.4""","70.1""","6.2""","100.6""","60.7""",25 City / 30 Hwy,"60.6"""
1223,2020 INFINITI QX60,"Pure | 6,323 miles","$32,900",1,SUV,Black,Silver,5N1DL0MN4LC529125,3.5L V6 295hp 270ft. lbs.,Automatic,FWD,Gasoline,"68.6""","200.6""","77.2""","6.5""","114.2""","65.7""",20 City / 27 Hwy,"65.7"""
1224,2019 Honda Civic,"Sport | 4,553 miles","$21,990",1,Sedan,Black,Aegean Blue Metallic,2HGFC2F85KH523993,2.0L I4 158hp 138ft. lbs.,Automatic,FWD,Gasoline,"55.7""","182.3""","70.8""",Unavailable,"106.3""","60.9""",29 City / 37 Hwy,"61.5"""
1225,2016 Mercedes-Benz E-Class,"E 350 | 34,235 miles","$22,380",2,Sedan,Gray,Grey,WDDHF5KB2GB234268,3.5L V6 302hp 273ft. lbs.,Automatic,RWD,Gasoline,"57.9""","192.1""","81.5""",Unavailable,"113.2""","63""",20 City / 29 Hwy,"63.7"""
1226,2019 Toyota 4Runner,"SR5 Premium | 44,007 miles","$32,840",2,SUV,Black,Midnight Black Metallic,JTEZU5JR6K5193505,4.0L V6 270hp 278ft. lbs.,Automatic,RWD,Gasoline,"71.5""","190.2""","75.8""","9""","109.8""","63.2""",17 City / 21 Hwy,"63.2"""
1232,2019 Ford Explorer,"Sport | 37,399 miles","$32,400",1,SUV,Black,Red,1FM5K8GT3KGB26860,EcoBoost 3.5L Twin Turbo V6 365hp 350ft. lbs.,Automatic,4x4,Gasoline,"71""","198.3""","90.2""","8.3""","112.8""","67""",16 City / 22 Hwy,"67"""
1234,2019 Nissan Rogue,"SV | 30,514 miles","$18,250",2,Wagon,Black,Silver,KNMAT2MV4KP542449,2.5L I4 170hp 175ft. lbs.,Automatic,AWD,Gasoline,"68.5""","184.5""","72.4""","8.4""","106.5""","62.8""",25 City / 32 Hwy,"62.8"""
1236,2018 Nissan Versa Note,"SV | 37,460 miles","$11,350",1,Hatchback,Black,Silver,3N1CE2CP8JL369635,1.6L I4 109hp 107ft. lbs.,Automatic,FWD,Gasoline,"60.5""","163""","66.7""",Unavailable,"102.4""","58.3""",31 City / 39 Hwy,"58.5"""
1237,2018 Chevrolet Traverse,"Premier | 23,909 miles","$37,360",1,SUV,Black,White,1GNERKKW0JJ102121,3.6L V6 310hp 266ft. lbs.,Automatic,FWD,Gasoline,"70.7""","204.3""","78.6""",Unavailable,"120.9""","67.3""",18 City / 27 Hwy,"67"""
1239,2019 Mercedes-Benz A-Class,"A 220 | 18,417 miles","$27,480",1,Sedan,Black,Grey,WDD3G4EB0KW020832,2.0L Turbo I4 188hp 221ft. lbs.,Automatic,FWD,Gasoline,"56.9""","179.1""","78.4""","4.3""","107.4""","61.7""",24 City / 35 Hwy,"60.9"""
1240,2018 Toyota RAV4,"Adventure | 26,317 miles","$24,980",1,SUV,Black,Silver Sky Metallic,2T3RFREV9JW757278,2.5L I4 176hp 172ft. lbs.,Automatic,AWD,Gasoline,"67.1""","183.5""","72.6""","6.5""","104.7""","61.4""",22 City / 28 Hwy,"61.4"""
1241,2018 Subaru Legacy,"2.5i Premium | 31,596 miles","$17,450",2,Sedan,Tan,Silver,4S3BNAF6XJ3041912,2.5L H4 175hp 174ft. lbs.,Automatic,AWD,Gasoline,"59""","189.1""","81.3""","5.9""","108.3""","62.2""",25 City / 34 Hwy,"62.8"""
1242,2017 INFINITI QX60,"Base | 35,656 miles","$25,570",1,SUV,Tan,Hermosa Blue,5N1DL0MN9HC515213,3.5L V6 295hp 270ft. lbs.,Other,FWD,Gasoline,"68.6""","200.1""","77.2""","6.5""","114.2""","65.7""",20 City / 27 Hwy,"65.7"""
1243,2017 Volkswagen Jetta,"1.4T S | 16,804 miles","$13,270",1,Sedan,Black,Grey,3VW2B7AJ1HM343781,1.4L Turbo I4 150hp 184ft. lbs.,Automatic,FWD,Gasoline,"57.2""","183.3""","70""","5.2""","104.4""","60.4""",28 City / 38 Hwy,"60.3"""
1244,2017 Maserati Levante,"Base | 9,455 miles","$50,630",1,SUV,Black,Grey,ZN661XUA5HX256591,3.0L Twin Turbo V6 345hp 369ft. lbs.,Automatic,AWD,Gasoline,"66.1""","197""","85""","9.7""","118.3""","64""",14 City / 20 Hwy,"66"""
1245,2019 Mazda CX-9,"Touring | 35,106 miles","$25,900",1,SUV,Black,Grey,JM3TCBCY9K0307582,SKYACTIV-G 2.5L Turbo I4 250hp 310ft. lbs.,Other,AWD,Gasoline,"69""","199.4""","77.5""","8.8""","115.3""","65.3""",20 City / 26 Hwy,"65.2"""
1246,2019 Volvo XC60,"T5 Momentum | 32,344 miles","$31,640",1,SUV,Black,Grey,LYV102RKXKB183286,2.0L Turbo I4 250hp 258ft. lbs. ULEV,Other,AWD,Gasoline,"65.3""","184.6""","83.3""","8.5""","112.8""","65.1""",20 City / 27 Hwy,"65.2"""
1247,2017 Cadillac CT6,"3.0TT Premium Luxury | 17,628 miles","$37,990",1,Sedan,Brown,Black,1G6KH5R6XHU173795,3.0L Twin Turbo V6 404hp 400ft. lbs.,Automatic,AWD,Gasoline,"58""","204.1""","74""",Unavailable,"122.4""","63.4""",18 City / 26 Hwy,"64"""
1248,2019 INFINITI QX60,"Pure 4dr SUV | 30,158 miles","$26,550",1,SUV,Black,Grey,5N1DL0MN2KC548030,3.5L V6 295hp 270ft. lbs.,Other,FWD,Gasoline,"68.6""","200.6""","77.2""","6.5""","114.2""","65.7""",20 City / 27 Hwy,"65.7"""
1249,2017 Chevrolet Bolt EV,"Premier | 43,509 miles","$17,730",1,Hatchback,Gray,Grey,1G1FX6S07H4144356,Electric 200hp 266ft. lbs.,Automatic,FWD,Electric,"62.8""","164""","69.5""",Unavailable,"102.4""","59.1""",128 City / 110 Hwy,"59.1"""
1250,2017 Chevrolet Bolt EV,"Premier | 34,295 miles","$18,200",1,Hatchback,Gray,Red,1G1FX6S01H4131893,Electric 200hp 266ft. lbs.,Automatic,FWD,Electric,"62.8""","164""","69.5""",Unavailable,"102.4""","59.1""",128 City / 110 Hwy,"59.1"""
1251,2019 GMC Yukon XL,"SLT 1500 | 25,418 miles","$46,850",1,SUV,Tan,Quicksilver Metallic,1GKS2GKC6KR289181,EcoTec3 5.3L V8 355hp 383ft. lbs.,Automatic,4x4,Gasoline,"74.4""","224.4""","80.5""","7.9""","130""","68.7""",14 City / 21 Hwy,"68.7"""
1253,2017 GMC Acadia,"SLE-1 | 21,605 miles","$21,210",1,SUV,Black,Ebony Twilight Metallic,1GKKNKLA7HZ316680,2.5L I4 193hp 188ft. lbs.,Automatic,FWD,Gasoline,"66""","193.6""","75.4""","7.2""","112.5""","64.5""",21 City / 26 Hwy,"64.5"""
1254,2018 Alfa Romeo Stelvio,"Sport | 21,078 miles","$28,530",1,Wagon,Black,Montecarlo Blue Metallic,ZASFAKPN9J7B89784,2.0L Turbo I4 280hp 306ft. lbs.,Automatic,AWD,Gasoline,"66""","184.6""","74.9""","8.1""","111""","63.5""",22 City / 28 Hwy,"65"""
